n,fecha,encuestador,carlos_galan,claudia_lopez,hollman_morris,miguel_uribe,blanco,ninguno,ns_nr,m_error,fuente
1,2019-08-01,Yanhaas,16,42,7,10,22,NA,3,4,https://noticias.canalrcn.com/nacional/la-gran-encuesta-claudia-lopez-encabeza-la-intencion-de-voto-para-la-alcaldia-de-bogota/
2,2019-08-06,Datexco,22,33.9,6.1,8.6,NA,NA,29.4,2.14,https://www.wradio.com.co/noticias/actualidad/estos-son-los-resultados-de-la-primera-encuesta-datexco-sobre-elecciones-regionales/20190806/nota/3936620.aspx
3,2019-08-08,Guarumo,17.2,28.2,11.7,14.4,24.9,NA,3.7,2.5,https://www.eltiempo.com/bogota/como-van-los-candidatos-a-alcaldias-segun-encuesta-de-guarumo-agosto-2019-398460
4,2019-08-22,"Los Mosqueteros",16.8,25.8,8.2,7.9,17.8,NA,23.5,2.9,https://www.wradio.com.co/noticias/actualidad/como-votarian-hoy-las-principales-ciudades-del-pais-en-las-elecciones-regionales/20190822/nota/3943571.aspx
5,2019-08-23,CNC,24,40,11,13,6,4,2,3.6,https://canal1.com.co/noticias/bogota/asi-va-la-intencion-de-voto-a-la-alcaldia-de-bogota-encuesta-cmi-cnc/
6,2019-09-02,Guarumo,17.8,24.8,12.1,17.5,20.5,NA,7.3,3.7,https://www.eltiempo.com/elecciones-colombia-2019/asi-va-la-intencion-de-voto-a-la-alcaldia-de-bogota-encuesta-guarumo-407746
7,2019-09-06,Invamer,22.8,36.6,13.7,22.3,4.6,NA,NA,5.9,https://www.bluradio.com/nacion/encuesta-invamer-lopez-366-galan-228-uribe-223-y-morris-137-225877-ie6223584
8,2019-09-09,Datexco,25,31.7,12.8,10.6,7.5,NA,12.4,3.7, https://www.wradio.com.co/noticias/actualidad/estos-son-los-resultados-de-la-mas-reciente-encuesta-por-la-alcaldia-de-bogota/20190909/nota/3951277.aspx
9,2019-09-10,CNC,23,34,9,16,9,4,5,3.7,https://canal1.com.co/noticias/bogota/asi-va-la-intencion-de-voto-a-la-alcaldia-de-bogota-encuesta-cmi-cnc-2/
10,2019-09-24,"Los Mosqueteros",24.7,25.3,21.8,15.2,4.5,NA,8.5,2.8,https://www.wradio.com.co/noticias/actualidad/encuesta-de-los-mosqueteros-lopez-galan-y-morris-en-empate-tecnico/20190924/nota/3957167.aspx
11,2019-09-29,"Guarumo",25.7,25.8,13.6,20.6,9.3,NA,11,3.3,https://www.eltiempo.com/elecciones-colombia-2019/bogota/nueva-encuesta-de-guarumo-s-a-s-y-ecoanalitic-muestra-empate-cerrado-por-alcaldia-de-bogota-417510
12,2019-10-03,CNC,34,26,12,13,9,3,3,3.4,https://canal1.com.co/noticias/bogota/asi-va-la-intencion-de-voto-a-la-alcaldia-de-bogota-ultima-gran-encuesta-cmi-cnc/
13,2019-10-07,Datexco,35.2,23.5,11.9,16.1,13.2,NA,NA,3.7,https://www.eltiempo.com/bogota/encuesta-datexco-a-la-alcaldia-de-bogota-2019-galan-lidera-con-el-35-420432
14,2019-10-10,Invamer,34.3,31.2,10.8,18.3,5.4,NA,NA,5.6,https://noticias.caracoltv.com/colombia-decide-2019/los-separan-3-puntos-galan-lidera-encuesta-invamer-y-claudia-lopez-es-ahora-segunda-ie133
15,2019-10-11,"Los Mosqueteros",29.1,23.2,22.6,14.1,6.8,NA,4.2,2.5,https://www.wradio.com.co/noticias/bogota/morris-empata-a-claudia-lopez-en-una-encuesta-donde-galan-lidera-intencion-de-voto/20191011/nota/3964697.aspx
16,2019-10-16,CNC,32,31,9,13,6,4,5,3.3,https://canal1.com.co/decision2019/asi-va-la-intencion-de-voto-a-la-alcaldia-de-bogota-encuesta-cmi-cnc-3/
17,2019-10-18,T&SE,22.3,22.1,14.4,14.6,15.9,NA,10.6,5,https://www.eltiempo.com/bogota/encuesta-de-tecnologia-servicios-electorales-t-se-a-la-alcaldia-de-bogota-424350
18,2019-10-22,Invamer,34.4,31.2,10.8,18.3,5.4,NA,7.8,5.6,https://noticias.caracoltv.com/colombia-decide-2019/por-cual-de-los-candidatos-la-alcaldia-de-bogota-votaria-usted-ie126
